name,manf
"Amstel Bock","Groupe Castel"
"Amstel Bright","China Resources Snow Breweries"
"Amstel Gold",Yanjing
"Amstel Lager",Kirin
"Amstel Lentebock",Kirin
"Amstel Light","Anheuser-Busch InBev"
"Amstel Malt",Yanjing
"Amstel Oud Bruin",Yanjing
"Ashland Amber",Carlsberg
"Ballz Deep Double IPA",Kirin
"Black Horse Black Beer","Anheuser-Busch InBev"
"Blue Whale Ale",Asahi
"Caldera Ginger Beer","Anheuser-Busch InBev"
"Caldera IPA",Heineken
"Caldera Oatmeal Stout","Anheuser-Busch InBev"
"Caldera Pale Ale","Anheuser-Busch InBev"
"Caldera Pilsener Bier",Carlsberg
"Cauldron Brew","Molson Coors Brewing"
"Cauldron DIPA","Anheuser-Busch InBev"
"Cauldron Espresso Stout",Heineken
"Celebration Ale","Tsingtao Brewery Group"
"Coconut Porter",Carlsberg
"Code Blue",Asahi
"Columbus India Pale Ale","Tsingtao Brewery Group"
"Deviator Doppelbock",Asahi
"Dry Hop Orange",Carlsberg
"Dry Hop Red",Heineken
"Dry Stout","Groupe Castel"
"Emerald Ale",Yanjing
"Exotic Erotic Passion Fruit Ale","Molson Coors Brewing"
"Grey Whale Ale",Yanjing
Hefeweizen,Kirin
"Hibiscus Ginger Beer",Carlsberg
"Holiday Ale","Groupe Castel"
"Holiday Imperial","Tsingtao Brewery Group"
"Holiday Trappist Style Ale",Asahi
"Honey Fayre","Tsingtao Brewery Group"
"Hop Hash","Molson Coors Brewing"
"Hopportunity Knocks",Carlsberg
"Imperial Stout","Molson Coors Brewing"
"Inspiration Ale","Molson Coors Brewing"
"Killer Whale Stout",Yanjing
"Kirner Pils Premium",Carlsberg
"Lawnmower Lager","China Resources Snow Breweries"
"Leviathan Imperial Stout",Asahi
Megalodon,Asahi
"Newark IPA","Groupe Castel"
"North Beach Ale",Kirin
"Nut Brown","China Resources Snow Breweries"
"Old Growth Imperial Stout",Heineken
"Old Oakland Ale","Tsingtao Brewery Group"
"Orca Porter",Asahi
"Pacific Pilsner",Kirin
"Pilot Rock Porter",Heineken
"Pumpkin Ale","Groupe Castel"
"Red Moon","Anheuser-Busch InBev"
"Sausa Pils","Anheuser-Busch InBev"
"Schinderhannes Bock",Yanjing
"Southside Strong",Heineken
"St. Stephen's Bock",Kirin
"Swamp Fox IPA","China Resources Snow Breweries"
"Telford Porter","Tsingtao Brewery Group"
"The Captain's Porter","China Resources Snow Breweries"
"The Highland Stagger","China Resources Snow Breweries"
"Vas Deferens Ale",Heineken
"Viven Porter","Groupe Castel"
"Welsh Honey Bitter","Molson Coors Brewing"
"Welsh Pride","Molson Coors Brewing"
"Yellowjacket Ale","Tsingtao Brewery Group"
